Rank,Team_Code,Team,Total_Points
1,GER,Germany,1609
2,BRA,Brazil,1489
3,POR,Portugal,1360
4,ARG,Argentina,1359
5,BEL,Belgium,1337
6,POL,Poland,1228
6,ESP,Spain,1228
8,SUI,Switzerland,1197
9,FRA,France,1185
10,CHI,Chile,1161
11,PER,Peru,1128
12,DEN,Denmark,1108
13,COL,Colombia,1106
14,ITA,Italy,1062
15,CRO,Croatia,1053
16,ENG,England,1047
17,MEX,Mexico,1038
18,ISL,Iceland,1026
19,SWE,Sweden,1002
20,WAL,Wales,984
21,NED,Netherlands,964
22,URU,Uruguay,931
23,TUN,Tunisia,920
24,NIR,Northern Ireland,879
25,USA,USA,876
26,CRC,Costa Rica,872
27,SEN,Senegal,862
28,AUT,Austria,826
29,SVK,Slovakia,822
30,PAR,Paraguay,816
31,IRL,Republic of Ireland,804
32,SCO,Scotland,797
33,IRN,IR Iran,792
34,SRB,Serbia,780
35,UKR,Ukraine,778
36,ROU,Romania,749
37,AUS,Australia,740
38,TUR,Turkey,730
39,COD,Congo DR,728
40,BUL,Bulgaria,715
41,BIH,Bosnia and Herzegovina,700
42,MAR,Morocco,694
43,CZE,Czech Republic,690
44,EGY,Egypt,687
45,GRE,Greece,685
46,MNE,Montenegro,675
47,BOL,Bolivia,674
48,VEN,Venezuela,659
49,JAM,Jamaica,643
50,HUN,Hungary,637
51,CMR,Cameroon,611
52,NGA,Nigeria,609
53,PAN,Panama,605
54,GHA,Ghana,602
55,JPN,Japan,593
56,BFA,Burkina Faso,587
57,NOR,Norway,578
58,ALB,Albania,557
59,KOR,Korea Republic,554
60,ALG,Algeria,553
61,CPV,Cape Verde Islands,539
62,SVN,Slovenia,537
63,RUS,Russia,531
64,HON,Honduras,517
65,CHN,China PR,508
65,ECU,Ecuador,508
67,MLI,Mali,506
68,FIN,Finland,503
69,KSA,Saudi Arabia,494
70,GUI,Guinea,484
71,CIVCôte d'Ivoire,479,476
72,UZB,Uzbekistan,451
73,PLE,Palestine,449
74,SYR,Syria,442
75,MKD,FYR Macedonia,441
76,RSA,South Africa,440
77,ZAM,Zambia,438
78,UGA,Uganda,435
79,TRI,Trinidad and Tobago,430
79,UAE,United Arab Emirates,430
81,BEN,Benin,427
82,CUWCuraçao,407,407
83,IRQ,Iraq,405
83,LUX,Luxembourg,405
85,HAI,Haiti,403
86,EST,Estonia,399
87,CGO,Congo,390
87,LIB,Lebanon,390
87,SLV,El Salvador,390
90,CAN,Canada,388
91,ARM,Armenia,385
92,CYP,Cyprus,378
93,BLR,Belarus,376
94,ISR,Israel,375
95,GAB,Gabon,371
96,GNBGuinea-Bissau,368,368
97,FRO,Faroe Islands,364
98,SLE,Sierra Leone,360
99,LBY,Libya,339
99,IND,India,339
101,QAT,Qatar,332
101,GEO,Georgia,332
103,OMA,Oman,331
104,MTN,Mauritania,322
105,KEN,Kenya,317
105,MOZ,Mozambique,317
107,SKN,St Kitts and Nevis,316
108,ZIM,Zimbabwe,312
109,MAD,Madagascar,309
110,NIG,Niger,305
111,NAM,Namibia,302
112,RWA,Rwanda,296
113,VIE,Vietnam,293
114,TKM,Turkmenistan,292
115,KGZ,Kyrgyz Republic,282
116,NCA,Nicaragua,277
117,JOR,Jordan,276
117,SDN,Sudan,276
119,PRK,Korea DPR,270
120,NZL,New Zealand,267
121,CTA,Central African Republic,266
122,PHI,Philippines,265
123,MWI,Malawi,264
124,TJK,Tajikistan,255
125,BHR,Bahrain,253
126,GUA,Guatemala,245
127,AZE,Azerbaijan,243
128,TOG,Togo,241
129,THA,Thailand,238
130,AND,Andorra,232
131,LVA,Latvia,231
132,COM,Comoros,230
